,rank,title,studio,box_office,year,actor1,actor2,actor3,actor4,female_lead,non_white_lead
219,220,Batman Forever,WB,184031112,1995,Val Kilmer, Tommy Lee Jones, Jim Carrey, Nicole Kidman,0,0
220,221,The Fugitive,WB,183875760,1993,Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore,0,0
221,222,The Revenant,Fox,183637894,2015,Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson, Will Poulter,0,0
222,223,Ocean's Eleven,WB,183417150,2001,George Clooney, Cecelia Ann Birt, Paul L. Nolan, Carol Florence,0,0
223,224,The Simpsons Movie,Fox,183135014,2007,Dan Castellaneta, Julie Kavner, Nancy Cartwright, Yeardley Smith,0,0
224,225,What Women Want,Par.,182811707,2000,Mel Gibson, Helen Hunt, Marisa Tomei, Alan Alda,0,0
225,226,The Perfect Storm,WB,182618434,2000,George Clooney, Mark Wahlberg, John C. Reilly, Diane Lane,0,0
226,227,Lincoln,BV,182207973,2012,Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt,0,0
227,228,Liar Liar,Uni.,181410615,1997,Jim Carrey, Maura Tierney, Justin Cooper, Cary Elwes,0,0
228,229,Jurassic Park III,Uni.,181171875,2001,Sam Neill, William H. Macy, T_a Leoni, Alessandro Nivola,0,0
229,230,Thor,Par.,181030624,2011,Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins,0,0
230,231,Mission: Impossible,Par.,180981856,1996,Tom Cruise, Jon Voight, Emmanuelle B_art, Henry Czerny,0,0
231,232,Ant-Man,BV,180202163,2015,Paul Rudd, Michael Douglas, Evangeline Lilly, Corey Stoll,0,0
232,233,Planet of the Apes&y=2001,Fox,180011740,2001,Mark Wahlberg, Tim Roth, Helena Bonham Carter, Michael Clarke Duncan,0,0
233,234,Madagascar: Escape 2 Africa,P/DW,180010950,2008,Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith,0,0
234,235,X-Men Origins: Wolverine,Fox,179883157,2009,Hugh Jackman, Liev Schreiber, Danny Huston, Will.i.am,0,0
235,236,Indiana Jones and the Temple of Doom,Par.,179870271,1984,Harrison Ford, Kate Capshaw, Jonathan Ke Quan, Amrish Puri,0,0
236,237,Top Gun,Par.,179800601,1986,Tom Cruise, Kelly McGillis, Val Kilmer, Anthony Edwards,0,0
237,238,Hitch,Sony,179495555,2005,Will Smith, Eva Mendes, Kevin James, Amber Valletta,0,1
238,239,MIB 3,Sony,179020854,2012,Will Smith, Walter F. Parkes, Barry Sonnenfeld, Nicole Scherzinger,0,1
239,240,Pretty Woman,BV,178406268,1990,Richard Gere, Julia Roberts, Ralph Bellamy, Jason Alexander,0,0
240,241,Home&y=2015,Fox,177397510,2015,Jim Parsons, Rihanna, Steve Martin, Jennifer Lopez,0,0
241,242,Night at the Museum: Battle of the Smithsonian,Fox,177243721,2009,Ben Stiller, Amy Adams, Owen Wilson, Hank Azaria,0,0
242,243,Tootsie,Col.,177200000,1982,Dustin Hoffman, Jessica Lange, Teri Garr, Dabney Coleman,0,0
243,244,How to Train Your Dragon 2,Fox,177002924,2014,Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson,0,0
244,245,Rise of the Planet of the Apes,Fox,176760185,2011,Andy Serkis, Karin Konoval, Terry Notary, Richard Ridings,0,0
245,246,Captain America: The First Avenger,Par.,176654505,2011,Chris Evans, Hayley Atwell, Sebastian Stan, Tommy Lee Jones,0,0
246,247,The Karate Kid,Sony,176591618,2010,Ralph Macchio, Pat Morita, Elisabeth Shue, Martin Kove,0,0
247,248,There's Something About Mary,Fox,176484651,1998,Cameron Diaz, Matt Dillon, Ben Stiller, Lee Evans,1,0
248,249,Ice Age,Fox,176387405,2002,Ray Romano, John Leguizamo, Denis Leary, Goran Visnjic,0,0
249,250,The Bourne Supremacy,Uni.,176241941,2004,Matt Damon, Franka Potente, Brian Cox, Julia Stiles,0,0
250,251,Get Out,Uni.,176040665,2017,Daniel Kaluuya, Allison Williams, Catherine Keener, Bradley Whitford,0,1
251,252,The LEGO Batman Movie,WB,175750384,2017,Will Arnett, Michael Cera, Rosario Dawson, Ralph Fiennes,0,0
252,253,The Boss Baby,Fox,175003033,2017,Alec Baldwin, Steve Buscemi, Jimmy Kimmel, Lisa Kudrow,0,0
253,254,Crocodile Dundee,Par.,174803506,1986,Paul Hogan, Linda Kozlowski, John Meillon, David Gulpilil,0,0
254,255,Apollo 13,Uni.,173837933,1995,Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise,0,0
255,256,Home Alone 2: Lost in New York,Fox,173585516,1992,Macaulay Culkin, Joe Pesci, Daniel Stern, Catherine O'Hara,0,0
256,257,Elf,NL,173398518,2003,Will Ferrell, James Caan, Bob Newhart, Edward Asner,0,0
257,258,National Treasure,BV,173008894,2004,Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean,0,0
258,259,Air Force One,Sony,172956409,1997,Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson,0,0
259,260,Rain Man,MGM,172825435,1988,Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen,0,0
260,261,Pirates of the Caribbean: Dead Men Tell No Tales,BV,172558876,2017,Johnny Depp, Javier Bardem, Geoffrey Rush, Brenton Thwaites,0,0
261,262,Tron Legacy,BV,172062763,2010,Joseph Kosinski ,,,,0,0
262,263,The Greatest Showman,Fox,171629190,2017,Hugh Jackman, Michelle Williams, Zac Efron, Zendaya,0,0
263,264,The Matrix,WB,171479930,1999,Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving,0,0
264,265,True Grit,Par.,171243005,2010,Jeff Bridges, Hailee Steinfeld, Matt Damon, Josh Brolin,0,0
265,266,Tarzan,BV,171091819,1999,Brian Blessed, Glenn Close, Minnie Driver, Tony Goldwyn,0,0
266,267,A Beautiful Mind,Uni.,170742341,2001,Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer,0,0
267,268,Chicago,Mira.,170687518,2002,Taye Diggs, Cliff Saunders, Catherine Zeta-Jones, Ren_e Zellweger,0,0
268,269,The Help,BV,169708112,2011,Emma Stone, Viola Davis, Bryce Dallas Howard, Octavia Spencer,1,0
269,270,Hotel Transylvania 2,Sony,169700110,2015,Adam Sandler, Andy Samberg, Selena Gomez, Kevin James,0,0
269,270,Hotel Transylvania 2,Sony,169700110,2015,Adam Sandler, Andy Samberg, Selena Gomez, Kevin James,0,0
270,271,Hidden Figures,Fox,169607287,2016,Taraji P. Henson, Octavia Spencer, Janelle Mone, Kevin Costner,1,1
271,272,Bridesmaids,Uni.,169106725,2011,Kristen Wiig, Terry Crews, Maya Rudolph, Tom Yi,1,0
272,273,Quantum of Solace,Sony,168368427,2008,Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench,0,0
273,274,Wild Hogs,BV,168273550,2007,Tim Allen, John Travolta, Martin Lawrence, William H. Macy,0,0
274,275,Kong: Skull Island,WB,168052812,2017,Tom Hiddleston, Samuel L. Jackson, Brie Larson, John C. Reilly,0,0
275,276,3 Men and a Baby,BV,167780960,1987,Tom Selleck, Steve Guttenberg, Ted Danson, Nancy Travis,0,0
